00481,BT PANJANG TEMP BUS PK
66481,Opp Blk 968, 大牌968对面
66489,Blk 969, 大牌969
66491,Opp Blk 910, 大牌910对面
66499,Blk 911, 大牌911
66509,Blk 546, 大牌546
66511,Yio Chu Kang Amenity Ctr, Chu Kang Amenity Ctr对面
66519,Opp Seagate, Opp Seagate
66521,Ban Teck Han Bldg, Ban Teck Han Bldg
66529,Blk 538, 大牌538
66531,Opp Blk 531, 大牌531对面
66539,Blk 531, 大牌531
66541,Blk 980C, 大牌980C
66549,Opp Blk 980C, 大牌980C对面
66551,Blk 984, 大牌984
66561,Outside Blk 991B
66569,OPP BLK 991B
66579,BLK 998B
66589,Buangkok Sports Pk
66599,KLA Tencor, 大牌Tencor
67009,Sengkang Int, Sengkang Int
67011,Bef Begonia Rd, 大牌Stn对面
67019,Aft Begonia Rd, Opp TAS Receiving Stn
67021,Opp Dedap Rd, Dedap Rd对面
67029,Aft Dedap Rd, Dedap Rd对面
67039,Aft Seletar Rd, Jln Kayu对面
67041,Opp The Greenwich, Jln Kayu对面
67049,The Greenwich, Jln Redop对面
67051,Opp Seletar Hills Est, Opp Seletar Hills Est
67059,Seletar Hills Est, Hills Est对面
67061,Aft Jln Selaseh, Jln Selaseh对面
67069,Bef Jln Selaseh, Jln Selaseh对面
67071,Bef Gerald Dr, Gerald Dr对面
67079,Ch Of St. Vincent De Paul, St. Vincent de Paul对面
67081,Aft Yio Chu Kang Rd, Yio Chu Kang Rd对面
67089,Bef Fernvale Lane, Fernvale Lane对面
67101,Blk 250A, 大牌250A
67109,Blk 235, 大牌235
67111,Chij St. Joseph'S Convent, 大牌Wood对面
67119,Blk 128, 大牌128
67121,Blk 142A, 大牌142A
67129,Blk 137, 大牌137
67131,Bakau Stn/Blk 122F, 大牌122F
67139,Nth Spring Pr Sch, 大牌121对面
67141,Blk 119D, 大牌119D
67151,Kangkar Stn Exit B, 大牌117A
67159,Kangkar Stn Exit A, 大牌112
67161,Opp Blk 101, 大牌101对面
67169,Blk 101, 大牌101
67171,Blk 225A, 大牌225A
67179,Opp Blk 225A, 大牌225A对面
67181,Blk 240, 大牌240
67189,Opp Blk 241, 大牌241对面
67191,Blk 223D, 大牌223D
67199,Opp Blk 223D, 大牌223D对面
67201,Blk 206A, 大牌206A
67209,Blk 203, 大牌203
67211,Ranggung Stn Exit A, 大牌CP对面
67219,Ranggung Stn Exit B, 大牌CP对面
67221,Rumbia Stn Exit B/Blk 153, 大牌153
67229,Rumbia Stn Exit A, 大牌146A
67231,Rivervale Pr Sch, Pr Sch对面
67239,Opp Rivervale Pr Sch, Opp Rivervale Pr Sch
67241,Blk 248A, 大牌248A
67249,Blk 259C, 大牌259C
67251,Compassvale Stn Exit A, 大牌253
67259,Compassvale Stn Exit B, 大牌297A
67261,Blk 203B, 大牌203B
67269,Opp Blk 203A, 大牌203A对面
67271,Blk 201 CP, 大牌CP对面
67279,Blk 301D, 大牌301D
67281,Blk 403A, 大牌403A
67289,Opp Blk 405C, 大牌405C对面
67291,Blk 303B, 大牌303B
67299,Opp Blk 303B, 大牌303B对面
67301,Blk 305D, 大牌305D
67309,Opp Blk 305 CP, Opp Blk 305 CP
67311,Blk 330
67319,Blk 336B
67321,Blk 311A, 大牌311A
67329,Opp Blk 310B, 大牌310B对面
67331,Blk 200B, 大牌200B
67339,Opp Blk 200B, 大牌200B对面
67341,Opp Blk 204 CP, Opp Blk 204 CP
67349,Blk 204 CP, 大牌CP对面
67351,Blk 321 CP, 大牌321CP
67359,Nan Chiau High Sch, Nan Chiau中学
67361,Blk 313B, 大牌313B
67369,Blk 306 CP, 大牌306CP
67371,Blk 313 CP, 大牌313 CP
67379,Opp Blk 313 CP, 大牌313 CP对面
67381,Blk 326 CP, 大牌CP对面
67389,Blk 317B, 大牌317B
67391,Blk 333B, 大牌333B
67399,Blk 325 CP, 大牌CP对面
67401,Opp Sengkang Stn/Blk 260A, Sengkang Stn
67409,Sengkang Stn, Sengkang Stn
67411,Blk 261, 大牌261
67419,Opp Blk 261, 大牌261对面
67421,OPP CHENG LIM LRT
67429,Cheng Lim LRT
67431,Opp Blk 291A, 大牌291A对面
67439,Blk 291A, 大牌291A
67441,Sengkang Community Hub, 大牌323B对面
67449,Blk 323B, 大牌323B
67451,Bef Buangkok Dr, Buangkok Dr对面
67459,Aft Buangkok Dr, Buangkok Dr对面
67461,Aft Sengkang East Ave, Sengkang East之后
67469,Bef Sengkang East Ave, Bef Sengkang East Ave
67471,Layar Stn Exit B, Fernvale Link对面
67479,Layar Stn Exit B/Blk 417A, Fernvale Link对面
67481,Fernvale Stn/Blk 439A, Pei Hwa Sec Sch对面
67489,Opp Fernvale Stn, Pei Hwa Sec Sch
67491,Opp Fernvale Pr Sch, Fernvale Lane对面
67499,Fernvale Pr Sch, Fernvale Lane对面
67501,Blk 117C, 大牌117C
67509,Opp Blk 119A, 大牌119A对面
67511,Blk 121E, 大牌121E
67519,Opp Blk 121E, 大牌121E对面
67521,Blk 160, 大牌160
67529,Opp Blk 157A, 大牌157A对面
67531,Blk 158C, 大牌158C
67539,Blk 122C, 大牌122C
67541,Hockey Stadium, Hockey Stadium
67549,Opp Hockey Stadium, Hockey Stadium对面
67551,Blk 471A, Fernvale Link对面
67559,Opp Blk 471A, Fernvale Link对面
67561,Opp Blk 432A, 大牌432A对面
67569,Blk 432A, 大牌432A
67571,Aft Lor Tanggam, Lor Tanggam对面
67579,Bef Jln Kayu, Jln Kayu对面
67581,Blk 319A, 大牌319A
67591,Blk 286B
67599,Opp Blk 293D
67601,Buangkok Stn Exit B, Buangkok Stn
67609,Buangkok Stn Exit A, Buangkok Stn
67611,Blk 204C, 大牌204C
67619,Blk 201C, 大牌201C
67621,Opp Blk 558, 大牌558对面
67629,Blk 557, 大牌557
67641,BEF ANCHORVALE ST
67649,AFT ANCHORVALE ST
67651,Bef Sengkang West Rd, Bef Sengkang West Rd
67659,Aft Sengkang West Rd, 义顺2道之后
67661,Opp Blk 178A, 大牌178A对面
67671,Blk 156A CP, 大牌CP对面
67691,BLK 338A
67699,BLK 334A
67701,AFT BLK 467B
67711,Bef Sengkang Fire Stn, Bef Sengkang Fire Stn
67719,Opp Sengkang Fire Stn, Opp Sengkang Fire Stn
67721,Aft Punggol Rd, Punggol Rd对面
67729,Bef Punggol Rd, Punggol Rd对面
67731,Bef Sengkang East Dr, Bef Sengkang East Dr
67739,Aft Sengkang East Dr, 义顺2道之后
67741,THANGGAM STN
67759,COMPASSVALE INT
67761,OPP BLK 326D
67769,BLK 326D
68011,Bef Jln Kayu, Jln Kayu对面
68019,Aft Jln Kayu, Jln Kayu对面
68021,Opp Blk 448A, Seletar West F'way 4对面
68029,Blk 448A, Seletar West F'way 2对面
68031,Jln Kayu Shophouse, Kayu Shophouse对面
68039,Aft Abundant Grace Ch, 义顺2道之后
68049,Opp Jln Tari Lilin, Opp Jln Tari Lilin
68051,Bef TPE, 大牌TPE
68059,Aft TPE, 大牌TPE
68061,Sing-China Bldg, China Bldg对面
68069,Opp Sing-China Bldg, 大牌Bldg对面
68081,Bef Seletar A'Space Rise, Rolls Royce Pte Ltd对面
68089,Aft Seletar A'Space Rise, Rolls Royce Pte Ltd对面
68091,Aft Baker St, Baker St对面
68099,Bef Baker St, Baker St对面
68101,Rolls Royce Pte Ltd, Rolls Royce Pte Ltd
68109,Opp Rolls Royce Pte Ltd, Rolls Royce Pte Ltd对面
68111,Bef Seletar Camp G, Bef Seletar Camp G
68119,Aft Seletar Camp G, 义顺2道之后
68121,Bef West Camp Rd, Bef West Camp Rd
68129,Aft West Camp Rd, West Camp之后
68131,Opp Youth Flying Club, Opp Youth Flying Club
68139,Youth Flying Club, Flying Club对面
68141,Opp Seletar Airport, Seletar Airport对面
68149,Seletar Airport, Seletar Airport
68151,BEF SHELL AVIATION, Bef ST Airport Svcs
68159,AFT SHELL AVIATION, ST Airport之后
68161,Aft Seletar A'Space Lane, W Camp之后
68169,Bef Seletar A'Space Lane, Seletar W Camp G 3对面
68171,Bef Yishun Ave 8, Bef Yishun Ave 8
68179,Aft Yishun Ave 8, 义顺8道之后
70011,Opp Blk 125, 大牌125对面
70019,Blk 125, 大牌125
70021,Opp Canossa Convent Pr, Canossa Convent Pr对面
70029,Aft Canossa Convent Pr, Canossa Convent Pr之后
70031,Opp Aljunied Pk, 阿裕尼公园对面
70039,Aljunied Pk, 阿裕尼公园
70041,Opp Blk 4, 大牌4对面
70049,Aft Blk 4, 大牌4对面
70051,Aft Joo Seng Rd, Joo Seng之后
70059,Aft Joo Seng Rd, Bef Joo Seng Rd
70061,Bef Bidadari Pk Dr, Opp Mt Vernon Crematorium
70069,Aft Bidadari Pk Dr, Vernon Crematorium对面
70071,Cycle & Carriage, 大牌Carriage对面
70079,Aft Regent Motors, Regent Motors对面
70081,Opp HDB CP, 大牌CP对面
70089,HDB CP, HDB CP
70091,Opp Traffic Police, Traffic Police对面
70099,Traffic Police, Traffic Police
70101,Opp Gulab Bldg, Gulab Bldg对面
70109,Gulab Bldg, Gulab Bldg
70111,Opp Cencon Bldg, Cencon Bldg对面
70119,Cencon Bldg, Cencon Bldg
70121,Aft Jln Muhibbah, Jln Muhibbah对面
70129,Opp Jln Muhibbah, Jln Muhibbah对面
70131,Bef Davidson Rd, Davidson Rd对面
70139,Aft Jln Belangkas, Jln Belangkas对面
70141,Citimac Ind Cplx, Ind Cplx对面
70149,MacPherson Green Condo, 大牌Condo对面
70151,Aft Jln Anggerek, Jln Anggerek对面
70161,OPP MATTAR STN EXIT A, 大牌14
70171,Blk 77, 大牌77
70181,Blk 36, 大牌36
70191,OPP BLK 66, 大牌Sch对面
70201,OPP MACPHERSON STN EXIT D, ITE MacPherson Campus 1
70211,Blk 90, 大牌90
70221,Blk 79 FC, 大牌FC对面
70231,OPP MATTAR STN EXIT B, Merpati Rd对面
70241,MacPherson Pr Sch, 大牌Sch对面
70251,Macpherson Stn Exit C, MacPherson Stn
70259,Macpherson Stn Exit B, 大牌Stn对面
70261,Opp Orion @ Paya Lebar, Opp Orion @ Paya Lebar
70269,Citipoint Ind Cplx, Ind Cplx对面
70271,Le Crescendo, Le Crescendo
70279,Opp Trinity @ Paya Lebar, Opp Trinity @ Paya Lebar
70281,Aft Tai Seng Stn, Ｇｅｙｌａｎｇ　Seng　Stn　之后
70289,Opp Tai Seng Stn, Opp Tai Seng Stn
70291,Asiawide Ind Bldg, Ind Bldg对面
70299,Opp Asiawide Ind Bldg, Opp Asiawide Ind Bldg
70301,Aft Paya Lebar St, Ｇｅｙｌａｎｇ　Lebar　St　之后
70309,Opp Paya Lebar St, Opp Paya Lebar St
70311,Aft Genting Lane, Genting Lane对面
70319,Aft Kallang Way 4, 义顺2道之后
70321,Aft Kallang Way 1, 义顺2道之后
70329,Aft Kallang Way 2, 义顺2道之后
70341,Tannery Blk, Tannery Blk
70349,Bef Lor Bakar Batu, Bef Lor Bakar Batu
70359,Aft Kallang Sector, Kallang Sector对面
70361,BEF GENTING LK, 大牌Kenwood
70371,Macpherson Stn Exit A
70379,Opp Macpherson Stn Exit A
70401,BEF UBI RD 4
70409,BLK 3032A
71011,Aft Paya Lebar Rd, 巴耶利峇路之后
71021,Opp Comfort Test Ctr, Comfort Test 中心对面
71029,Comfort Test Ctr, Comfort Test中心
71031,Opp Gordon Warehse Bldg, Gordon Warehse Bldg 对面
71041,Opp Air Force Museum, 空军博物馆对面
71049,Air Force Museum, 空军博物馆
71051,Aft Kim Chuan Rd, 后港Rd道之后
71059,Bef Kim Chuan Rd, Bef Kim Chuan Rd
71061,Bef Airport Rd, Airport Rd对面
71069,Aft Airport Rd, Airport Rd对面
71071,Opp Comfort Driving Ctr, Opp Comfort Driving Ctr
71079,Comfort Driving Ctr, Driving Ctr对面
71081,Eunos Technolink, Eunos Technolink
71089,Opp Eunos Technolink, Eunos Technolink对面
71091,Blk 637, 大牌637
71099,Blk 311, 大牌311
71101,Blk 318, 大牌318
71109,Maha Bodhi Sch, Bodhi Sch对面
71111,Blk 343, 大牌343
71119,Opp Blk 343, 大牌343对面
71121,UBI STN EXIT B
71129,UBI STN EXIT A
71131,Automobile Megamart, Automobile Megamart
71139,Blk 302, 大牌302
71141,Blk 3023, 大牌3023
71149,Blk 3024, 大牌3024
71151,Blk 3021, 大牌3021
71159,Blk 3026, 大牌3026
71161,Blk 3019, 大牌3019
71169,Aztech Bldg, Aztech Bldg
71171,Blk 1022, 大牌1022
71179,Opp Blk 1022, 大牌1022对面
71181,Opp Paya Lebar Air Base, 巴耶利巴空军基地对面
71189,Paya Lebar Air Base, 巴耶利峇空军基地
71191,Aft Defu Lane 12, Defu线12之后
71201,Paya Ubi Ind Pk, Paya Ubi Ind Pk
71209,Opp Paya Ubi Ind Pk, Paya Ubi Ind Pk对面
71211,Ubi 55, 大牌55
71219,Ubi Techpark, Ubi Techpark
71221,Meiban Ind Bldg, Ind Bldg对面
71229,Opp Meiban Ind Bldg, Opp Meiban Ind Bldg
71291,THE LEO
71299,EMPIRE TECHNOCENTRE
71331,KAKI BT AUTOHUB
71339,OPP KAKI BT AUTOHUB
72011,Blk 322, 大牌322
72019,Eunos Mans, Eunos Mans
72021,Blk 646, 大牌646
72029,Opp Blk 646, 大牌646对面
72031,BEF KAKI BT STN EXIT B, Jln Damai对面
72039,KAKI BT STN EXIT A, Jln Damai对面
72041,Blk 660A CP, 大牌658对面
72049,Opp Blk 660A CP, 大牌658
72051,Kaki Bt Ind Est, Kaki Bt Ind Est
72059,Opp Kaki Bt Ind Est, Kaki Bt Ind Est对面
72061,Blk 122, 大牌122
72069,Blk 121, 大牌121
72071,Blk 133, 大牌133
72079,Blk 609, 大牌609
72131,OPP TECH VIEW
72139,TECH VIEW
72141,BARTLEY BIZ CTR
72149,SHUN LI IND PK
72151,AUTOBAY @ KAKI BT
72159,OPP AUTOBAY @ KAKI BT
72161,AFT BARTLEY VIADUCT
72169,BEF BARTLEY VIADUCT
73019,Bef RSAF Roundabout, RSAF Roundabout之前
73021,LP 223R12, LP 223R12
73029,Opp LP 223R10, 大牌223R10对面
73031,Bef Tampines Ind Ave 5, Tampines Ind Ave 5对面
73039,Aft Tampines Ind Ave 5, Tampines Ind Ave 5对面
73041,ST Aero, ST 飞机
73049,Air Force Sch, 空军学校
74011,Aft Tampines Ind Ave 5, Tampines Ind Ave 5对面
74019,Bef Tampines Ind Ave 5, Tampines Ind Ave 5对面
74021,Bef Tampines Ind Ave 4, Tampines Ind Ave 4对面
74029,Aft Tampines Ind Ave 4, Tampines Ind Ave 4对面
74031,Aft Jln Sam Kong Si, 义顺2道之后
74039,Bef Jln Sam Kong Si, Bef Jln Sam Kongsi
74041,Opp Golden Pagoda Tp, Opp Golden Pagoda Tp
74049,Golden Pagoda Tp, Pagoda Tp对面
75009,Tampines Int, Tampines Int
75019,Tampines Concourse Int
75021,BLK 879B
75031,Opp Springfield Sec Sch, Opp Springfield Sec Sch
75039,Springfield Sec Sch, Sec Sch对面
75051,TAMPINES WEST STN EXIT B, 大牌Tampines对面
75059,BEF TAMPINES WEST STN, 大牌Tampines
75061,Opp Bedok Reform Trg Ctr, 勿洛Reform Trg Ctr对面
75069,Bedok Reform Trg Ctr, 勿洛Reform Trg Ctr
75071,Opp Blk 819, 大牌819对面
75079,Blk 819, 大牌819
75081,Blk 831, 大牌831
75089,Blk 827, 大牌827
75099,Blk 897, 大牌897
75101,Blk 880, 大牌880
75109,Blk 888, 大牌888
75111,Blk 874A, 大牌874A
75121,Opp Darul Ghufran Mque, Opp Darul Ghufran Mque
75129,Darul Ghufran Mque, Ghufran Mque对面
75131,Bet Blks 701/702, 大牌702对面
75139,Blk 863, 大牌863
75141,Blk 730, 大牌730
75149,Blk 867A, 大牌867A
75151,Opp Blk 871A, 大牌871A对面
75159,Blk 874, 大牌874
75161,Blk 855, 大牌855
75169,Opp Blk 853, 大牌853对面
75171,Aft Tampines Ave 9
75179,Bef Tampines Ave 9
75201,Blk 835, 大牌835
75209,Blk 882A, 大牌882A
75219,Blk 889, 大牌889
75221,Opp Temasek Poly East G, Temasek Poly East G对面
75229,Temasek Poly East G, Temasek Poly East G
75231,Opp Temasek Poly, Temasek Poly对面
75239,Temasek Poly, Temasek Poly
75241,Opp Temasek Poly West G, Temasek Poly West G对面
75249,Temasek Poly West G, Temasek Poly West G
75251,Opp Tropica Condo, Tropica Condo对面
75259,Tropica Condo, Tropica Condo
75261,Bet Blks 710/713, 大牌713对面
75269,Opp Blks 710/713, 大牌713对面
75271,Blk 721, 大牌721
75279,Opp Blk 721, 大牌721对面
75281,Blk 742A, 大牌742A
75289,Opp Blks 741/742, 大牌742对面
75291,Aft Tampines Ave 9, 淡滨尼9道之后
75299,Bef Tampines Ave 9, Bef Tampines Ave 9
75311,Tampines Dormitory, Tampines Dormitory
75319,Opp Tampines Dormitory, Tampines Dormitory对面
75329,Poi Ching Pr Sch, Poi Ching Pr Sch
75339,Blk 734, 大牌734
75341,Opp The Clearwater Condo, 清洁Condo对面
75349,The Clearwater Condo, 清洁水Condo
75351,Bef TPE, 大牌TPE
75359,Aft TPE, 大牌TPE
75361,Bef Tampines Ind Ave 5, Tampines Ind Ave 5对面
75369,Opp HNS Micro Siltronic, Opp HNS Micro Siltronic
75371,Aft Tampines Ave 5, 淡滨尼5道之后
75379,Bef Tampines Ave 5, Bef Tampines Ave 5
75381,T5@TAMPINES
75391,OPP SILTRONIC
75401,AFT TAMPINES AVE 1
75409,THE SANTORINI
75411,BEF TAMPINES FIRE STN
75419,AFT TAMPINES AVE 5
76031,TAMPINES EAST STN EXIT B
76039,TAMPINES EAST STN EXIT C
76041,BLK 842C
76049,OPP BLK 842C
76051,Our Tampines Hub, Tampines Stadium
76059,Opp Our Tampines Hub, Tampines Stadium对面
76061,Blk 938, 大牌938
76069,Blk 147, 大牌147
76071,Blk 141, 大牌141
76079,Blk 101, 大牌101
76081,Opp The Holy Trinity Ch, The Holy Trinity Ch对面
76089,The Holy Trinity Ch, The Holy Trinity Ch
76091,Blk 206, 大牌206
76099,Blk 285, 大牌285
76101,Tampines East CC, 大牌CC对面
76109,Blk 302, 大牌302
76111,Blk 945, 大牌945
76119,Opp Blk 945, 大牌945对面
76121,Opp St. Hilda's Sec Sch, St. Hilda's Sec Sch对面
76129,St. Hilda's Sec Sch, St. Hilda's Sec Sch
76131,UOB Tampines Ctr, 大牌Ctr对面
76139,Opp Century Sq, Century Sq对面
76141,Tampines Stn/Int, Stn/Int对面
76149,Opp Tampines Stn/Int, 大牌Int对面
76151,Blk 237, 大牌237
76159,Opp Blk 237, 大牌237对面
76161,Opp Blk 248, 大牌248对面
76169,Blk 248, 大牌248
76171,Blk 266, 大牌266
76179,Opp Blk 266, 大牌266对面
76181,Blk 216, 大牌216
76189,Opp Blk 216, 大牌216对面
76191,BLK 401, Opp Tampines Reg Lib
76199,BLK 503, Bef Tampines Reg Lib
76201,Blk 423, 大牌423
76209,Blk 233, 大牌233
76211,Blk 449, 大牌449
76219,Blk 230E, 大牌230E
76221,TAMPINES EAST STN EXIT A, 大牌230对面
76229,OPP TAMPINES EAST STN, 大牌229
76231,Tampines JC/Opp Blk 390, 大牌JC
76239,Blk 390/Opp Tampines JC, 大牌JC对面
76241,Blk 497D, 大牌497D
76249,Blk 370, 大牌370
76251,Blk 487B, 大牌487B
76259,Opp Blk 487B, 大牌487B对面
76261,Blk 489B, 大牌489B
76269,Opp Blk 489A, 大牌489A对面
76271,Dunman Sec Sch, Sec Sch对面
76279,Blk 491C, 大牌491C
76281,East View Pr Sch, East View Pr Sch
76289,Opp East View Pr Sch, East View Pr Sch对面
76291,Angsana Pr Sch, 大牌280对面
76301,Blk 283, 大牌283
76311,Blk 460/Opp Tampines JC, 大牌JC对面
76319,Tampines JC/Opp Blk 454, 大牌JC
76329,Blk 125, 大牌125
76339,Opp Tampines Changkat Cc, 大牌121
76341,Blk 464, 大牌464
76349,Dunman Sec Sch, Sec Sch对面
76351,Blk 484, 大牌484
76359,Blk 493B, 大牌493B
76361,Blk 430, 大牌430
76369,Blk 496F, 大牌496F
76371,Blk 459, 大牌459
76391,Blk 418, 大牌418
76399,Blk 417, 大牌417
76401,Blk 230B, 大牌230B
76409,Blk 259, 大牌259
76411,Ngee Ann Sec Sch, Ngee Ann Sec Sch
76419,Blk 307A, 大牌307A
76421,Opp Blk 331, 大牌331对面
76429,Blk 331, 大牌331
76431,BLK 333
76439,Blk 351, 大牌351
76441,OPP BLK 345
76449,Blk 343, 大牌343
76451,BLK 324
76459,Blk 323, 大牌323
76461,Eden Condo, Eden Condo
76469,East Spring Sec Sch, East Spring Sec Sch
76471,BLK 444
76511,THE TAMPINES TRILLIANT
76519,BET BLKS 524B/523D
76521,OPP BLK 519A
76529,BLK 519A
76541,Citylife@ Tampines, Citylife@Tampines
76549,Opp Citylife@ Tampines, Citylife@Tampines对面
76551,TAMPINES STN EXIT D
76559,AFT TAMPINES STN EXIT E
77009,Pasir Ris Int, Ris Int对面
77011,Opp Blk 515, 大牌515对面
77019,Blk 515, 大牌515
77021,Opp Blk 571, 大牌571对面
77029,Blk 571, 大牌571
77031,Aft Pasir Ris Ctrl, Pasir Ris之后
77039,Bef Pasir Ris Ctrl, Bef Pasir Ris Ctrl
77041,Blk 541, 大牌541
77049,Pasir Ris Town Pk, Pasir Ris Town Pk
77051,Blk 115, 大牌115
77059,Blk 425, 大牌425
77061,Ris Grandeur, Ris Grandeur
77069,Opp Ris Grandeur, Ris Grandeur对面
77071,Blk 633, 大牌633
77079,Elias Mall, Elias Mall
77081,Aft Pasir Ris Dr 3, Pasir Ris Dr 3对面
77089,Bef Pasir Ris Dr 3, Pasir Ris Dr 3对面
77091,Bef Pasir Ris Way, Bef Pasir Ris Way
77099,Bef Pasir Ris Ave, Bef Pasir Ris Ave
77101,Bef Pasir Ris Rd, Bef Pasir Ris Rd
77109,Aft Pasir Ris Rd, 义顺2道之后
77111,Bef Pasir Ris Way, Bef Pasir Ris Way
77119,Aft Pasir Ris Way, Pasir Ris之后
77129,Opp Unit 104, 大牌104对面
77131,Blk 502, 大牌502
77139,Blk 582, 大牌582
77141,Blk 519, 大牌519
77161,Blk 741, 大牌741
77169,Meridian JC, 大牌JC
77171,Opp Pasir Ris Town Pk, Pasir Ris Town Pk对面
77179,Pasir Ris Town Pk, Pasir Ris Town Pk
77181,Blk 638, 大牌638
77189,Blk 613, 大牌613
77191,Blk 500A, 大牌500A
77199,Opp Blk 500A, 大牌500A对面
77201,Aft Blk 601, 大牌601对面
77209,Opp Blk 601, 大牌601对面
77211,Blk 626, 大牌626
77219,Opp Blk 626, 大牌626对面
77221,Blk 651, 大牌651
77231,Meridian JC, 大牌JC
77239,Blk 643, 大牌643
77241,Opp Blk 640, 大牌640对面
77249,Blk 640, 大牌640
77251,Blk 713, 大牌713
77259,Opp Blk 713, 大牌713对面
77261,Blk 717, 大牌717
77269,Opp Blk 717, 大牌717对面
77271,Aft Pasir Ris St 72, Pasir Ris St 72对面
77279,Aft Pasir Ris Ind Dr 1, Pasir Ris Dr 1对面
77281,Blk 740, 大牌740
77289,Blk 738, 大牌738
77291,Blk 753, 大牌753
77301,Blk 778, 大牌778
77309,Opp Blk 778, 大牌778对面
77311,Bet Blks 771/772, 大牌772对面
77319,Opp Blks 771/772, 大牌772对面
77321,Aft Pasir Ris St 53, Pasir Ris St 53对面
77329,Bef Pasir Ris St 53, Pasir Ris St 53对面
77331,Blk 747A, 大牌747A
77339,Aft TPE, 大牌TPE
77341,Opp Blk 569, 大牌569对面
77349,Blk 569, 大牌569
77351,Blk 562, 大牌562
77359,Blk 564, 大牌564
77361,Blk 555, 大牌555
77369,Opp Blk 555, 大牌555对面
77371,Aft Pasir Ris Dr 3, Downtown East对面
77379,Bef Pasir Ris Dr 3, Pasir Ris St 53对面
78049,Blk 612, 大牌612
78051,Blk 197, 大牌197
78059,Blk 210, 大牌210
78061,Blk 104, 大牌104
78069,Blk 442, 大牌442
78071,Blk 446, 大牌446
78079,Blk 429, 大牌429
78081,Blk 467, 大牌467
78089,Blk 405, 大牌405
78091,Opp Downtown East, Downtown East对面
78099,Aft Loyang Gdns, Loyang Gdns对面
78101,Opp Downtown East, Downtown East对面
78109,Downtown East, Downtown East
78111,Blk 479, 大牌479
78119,Opp Blk 479, 大牌479对面
78121,Bet Blks 232/233, 大牌233对面
78129,Opp Blk 233, 大牌233对面
78131,Pasir Ris Pr Sch, Pasir Ris Pr Sch
78139,Opp Pasir Ris Pr Sch, Pasir Ris Pr Sch对面
78141,Greenview Sec Sch, Sec Sch对面
78149,Opp Greenview Sec Sch, Opp Greenview Sec Sch
78151,Blk 230, 大牌230
78159,Opp Blk 230, 大牌230对面
78161,Blk 216, 大牌216
78169,Opp Blk 216, 大牌216对面
78171,Blk 108, 大牌108
78181,Bef Blk 187, 大牌187对面
78191,Aft Blk 182, 大牌182对面
78201,Opp Blk 242, 大牌242对面
78209,Blk 242, 大牌242
78211,Blk 204, 大牌204
78219,Opp Blk 204, 大牌204对面
78221,Blk 231A CP, 大牌CP对面
78229,Blk 485, 大牌485
78231,Opp Blk 482, 大牌482对面
78241,Bet Blks 453/454, 大牌454对面
78251,Lighthouse, 大牌Lighthouse
78259,Opp Lighthouse, Opp Lighthouse
78261,Opp Ripple Bay, 大牌169
78269,Ripple Bay, Coastal View对面
78271,Casa Pasir Ris, Pasir Ris对面
78279,Opp Loyang Townhse, Loyang Townhouse对面
80009,Lor 1 Geylang Ter, Lor 1 Geylang Ter
80011,AFT PADANG JERINGAU, Sri Manmatha K Tp对面
80029,Bef Kg Bugis, Kallang Rd ERP Gantry对面
80031,Kallang Stn, Kallang Stn
80039,Opp Lor 1 Geylang Ter, Lor 1 Geylang Ter对面
80049,Aft Sims Way, Sims Way对面
80051,Aft Lor 1 Geylang, 义顺2道之后
80069,Opp Mohd Salleh Mque, Opp Mohd Salleh Mque
80071,Yi Xiu Fty Bldg, Yi Xiu Fty Bldg
80089,Bef Lor 18 Geylang, Bef Lor 18 Geylang
80091,Bef Lor 23 Geylang, Bef Lor 23 Geylang
80101,Kallang Stn/Opp Blk 2C, 大牌2C对面
80109,Opp Kallang Stn/Blk 2C, 大牌2C对面
80111,Bef Geylang Rd, Geylang Rd对面
80119,Aft Geylang Rd, Geylang Rd对面
80141,Opp S.A. Deaf, Opp Mountbatten Voc Sch
80149,S.A. Deaf, Voc Sch对面
80151,Opp Suntec City, Suntec City对面
80159,Suntec City, Suntec City
80161,Opp Nicoll Highway Stn, The Concourse
80169,Nicoll Highway Stn, Highway Stn对面
80171,CP F, CP F
80179,Opp CP F, 大牌F对面
80181,Kallang Squash Ctr, Squash Ctr对面
80189,Opp Kallang Squash Ctr, Opp Kallang Squash Ctr
80191,Opp S'pore Indoor Stadium, Opp S'pore Indoor Stadium
80199,S'pore Indoor Stadium, Indoor Stadium对面
80211,Opp Natl Stadium, Natl Stadium对面
80219,Natl Stadium, Natl Stadium
80229,Blk 45, 大牌45
80231,Opp Blk 53, 大牌59
80239,Bef Blk 53, 大牌59对面
80249,Blk 49 Mkt/FC, 大牌FC对面
80251,Aft Lor 14 Geylang, Assn Bldg
80259,Aft Chen Li Presby Ch, Chen Li Presby Ch对面
80269,Bef Sims Ave, Sims Ave对面
80271,Opp Mountbatten Stn, 大牌2对面
80279,Mountbatten Stn Exit B, 大牌2
80289,Sims Pl Ter, Pl Ter对面
80291,Blk 82, 大牌82
80299,Opp Blk 82, 大牌82对面
80301,Bef Blk 19, 大牌19对面
80309,Aft Geylang West CC, Ｇｅｙｌａｎｇ　West　CC　之后
80311,Blk 3B, 大牌3B
80319,Geylang West CC, 大牌CC对面
81011,Aft Aljunied Stn, Aljunied Stn
81029,Aft Lor 28 Geylang, 义顺2道之后
